exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
,Timestamp,거래시각,,원본 컬럼,,,,,,,,,,,
,From Bank,송금은행,,원본 컬럼,,,,,,,,,,,
,Account,송금계좌,,원본 컬럼,,,,,,,,,,,
,To Bank,수취은행,,원본 컬럼,,,,,,,,,,,
,Account.1,수취계좌 ,,원본 컬럼,,,,,,,,,,,
,Amount Received,수취금액,,원본 컬럼,,,,,,,,,,,
,Receiving Currency,수취동화 ,,원본 컬럼,,,,,,,,,,,
,Amount Paid,송금금액,,원본 컬럼,,,,,,,,,,,
,Payment Currency,송금통화,,원본 컬럼,,,,,,,,,,,
,Payment Format,결제방식,,원본 컬럼,,,,,,,,,,,
,Is Laundering,원본라벨 ,,원본 컬럼,,,,,,,,,,,
,tx_id,거래 row 식별용 ID,,전처리 생성,,,,,,,,,,,
,timestamp,원본 Timestamp를 파싱/표준화한 시각 컬럼,,전처리 생성,,,,,,,,,,,
,split,train/val/test 분할 컬럼,,전처리 생성,,,,,,,,,,,
,label,원본 Is Laundering을 모델용 label로 표준화,,전처리 생성,,,,,,,,,,,
,sender_account,원본 송금 계좌 컬럼을 표준화,,전처리 생성,,,,,,,,,,,
,receiver_account,원본 수취 계좌 컬럼을 표준화,,전처리 생성,,,,,,,,,,,
,cat__from_bank__code,송금 은행 코드값. 보존만 하고 학습에는 미사용,,전처리 생성,,,,,,,,,,,
,cat__to_bank__code,수취 은행 코드값. 보존만 하고 학습에는 미사용,,전처리 생성,,,,,,,,,,,
,cat__payment_currency__code,송금 통화 코드값. 보존만 하고 학습에는 미사용,,전처리 생성,,,,,,,,,,,
,cat__receiving_currency__code,수취 통화 코드값. 보존만 하고 학습에는 미사용,,전처리 생성,,,,,,,,,,,
,cat__payment_format__code,결제 방식 코드값. 보존만 하고 학습에는 미사용,,전처리 생성,,,,,,,,,,,
,cat__currency_pair__code,송금-수취 통화쌍 코드값. cat__currency_pair__xgb_cat 생성 source로 사용,,전처리 생성,,,,,,,,,,,
,cat__bank_pair__code,송금-수취 은행쌍 코드값. cat__bank_pair__xgb_cat 생성 source로 사용,,전처리 생성,,,,,,,,,,,
,time__row__hour,거래 시각의 시간대. 원본 보존용이며 실제 학습 제외,,전처리 생성,,,,,,,,,,,
,time__row__dayofweek,거래 시각의 요일. cat__time_dayofweek__xgb_cat 생성 source로 사용,,전처리 생성,,,,,,,,,,,
,time__row__is_weekend,주말 여부. cat__time_is_weekend__xgb_cat 생성 source로 사용,,전처리 생성,,,,,,,,,,,
ml-00,amount__current__value,현재 거래 지급 금액,,ml_exp00.parquet: amount__current__value,현재 거래 지급 금액을 그대로 사용,numeric,원,현재 거래,원천 컬럼 결측 시 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount__current__log1p,현재 거래 지급 금액의 log1p 변환값,,ml_exp00.parquet: amount__current__log1p,현재 거래 지급 금액에 log1p 변환 적용,numeric,log(원+1),현재 거래,원천 금액 결측 또는 음수 여부 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount_received__current__value,현재 거래 수취 금액,,ml_exp00.parquet: amount_received__current__value,현재 거래 수취 금액을 그대로 사용,numeric,원,현재 거래,원천 컬럼 결측 시 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount_received__current__log1p,현재 거래 수취 금액의 log1p 변환값,,ml_exp00.parquet: amount_received__current__log1p,현재 거래 수취 금액에 log1p 변환 적용,numeric,log(원+1),현재 거래,원천 금액 결측 또는 음수 여부 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount__paid_recv_ratio,현재 거래 지급 금액과 수취 금액의 비율,,ml_exp00.parquet: amount__paid_recv_ratio,현재 거래 지급 금액 / 현재 거래 수취 금액 비율 계산,numeric,비율,현재 거래,수취 금액 0 또는 결측 시 처리 정책 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,cat__time_hour__xgb_cat,time hour 범주형 피처,,ml_exp00.parquet: time__row__hour,time__row__hour를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,시각 코드,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,제외 ,,ML
ml-00,cat__time_dayofweek__xgb_cat,time dayofweek 범주형 피처,,ml_exp00.parquet: time__row__dayofweek,time__row__dayofweek를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,요일 코드,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__time_is_weekend__xgb_cat,time is weekend 범주형 피처,,ml_exp00.parquet: time__row__is_weekend,time__row__is_weekend를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,0/1,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__from_bank__xgb_cat,from bank 범주형 피처,,ml_exp00.parquet: From Bank,From Bank를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__to_bank__xgb_cat,to bank 범주형 피처,,ml_exp00.parquet: To Bank,To Bank를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__bank_pair__xgb_cat,bank pair 범주형 피처,,ml_exp00.parquet: cat__bank_pair__code,cat__bank_pair__code를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__payment_currency__xgb_cat,payment currency 범주형 피처,,ml_exp00.parquet: Payment Currency,Payment Currency를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__receiving_currency__xgb_cat,receiving currency 범주형 피처,,ml_exp00.parquet: Receiving Currency,Receiving Currency를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__currency_pair__xgb_cat,currency pair 범주형 피처,,ml_exp00.parquet: cat__currency_pair__code,cat__currency_pair__code를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__payment_format__xgb_cat,payment format 범주형 피처,,ml_exp00.parquet: Payment Format,Payment Format를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w1h,송신 계좌의 과거 1h 출금 거래 건수,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w1h,송신 계좌의 과거 1h 출금 금액 합계,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w1h,송신 계좌의 과거 1h 출금 금액 평균,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w1h,송신 계좌의 과거 1h 출금 금액 표준편차,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w1h,송신 계좌의 과거 1h 출금 금액 최대값,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w6h,송신 계좌의 과거 6h 출금 거래 건수,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w6h,송신 계좌의 과거 6h 출금 금액 합계,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w6h,송신 계좌의 과거 6h 출금 금액 평균,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w6h,송신 계좌의 과거 6h 출금 금액 표준편차,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
